labelValue	id	preferredName	targetName	userAction	localizationStatus	sourceStrategy	difficulty	systems	red	green	blue
31	premedullary_cistern	Premedullary cistern	Premedullary cistern	fully_place_manually	manual_required	manual	advanced	csf_spaces;brainstem	242	223	78
32	cerebellum	Cerebellum	Cerebellum	edit_or_replace_anchor	support_anchor_needs_edit	freesurfer_support_manual_refine	beginner	cerebellum;white_matter	231	242	78
33	external_auditory_canal	External auditory canal	External auditory canal	fully_place_manually	manual_required	manual	beginner	skull_base	78	242	88
34	foramen_of_magendie	Foramen of Magendie	Foramen of Magendie	edit_or_replace_anchor	support_anchor_needs_edit	manual	advanced	ventricles;csf_spaces;brainstem	242	78	128
35	superior_orbital_fissure	Superior orbital fissure	Superior orbital fissure	fully_place_manually	manual_required	manual	advanced	skull_base;cranial_nerves	78	241	242
36	meckel_s_cave	Meckel's cave	Meckel's cave	fully_place_manually	manual_required	manual	advanced	skull_base;cranial_nerves;csf_spaces	235	78	242
37	foramen_of_luschka	Foramen of Luschka	Foramen of Luschka	edit_or_replace_anchor	support_anchor_needs_edit	manual	advanced	ventricles;csf_spaces;brainstem	83	78	242
38	crista_galli	Crista galli	Crista galli	fully_place_manually	manual_required	manual	beginner	skull_base;midline	90	78	242
39	pituitary_fossa	Pituitary fossa	Pituitary fossa	fully_place_manually	manual_required	manual	beginner	skull_base;midline	78	108	242
40	pons	Pons	Pons	edit_or_replace_anchor	support_anchor_needs_edit	manual_or_external_atlas	beginner	brainstem	78	89	242
41	gyrus_rectus	Gyrus rectus	Gyrus rectus	qc_auto_point	auto_point_from_freesurfer	freesurfer_seed	intermediate	cortex	102	242	78
42	prepontine_cistern	Prepontine cistern	Prepontine cistern	fully_place_manually	manual_required	manual	intermediate	csf_spaces;brainstem	161	242	78
43	middle_cerebellar_peduncle	Middle cerebellar peduncle	Middle cerebellar peduncle	fully_place_manually	manual_required	manual_or_external_atlas	intermediate	white_matter;cerebellum;brainstem	242	226	78
44	uncus	Uncus	Uncus	edit_or_replace_anchor	support_anchor_needs_edit	manual	intermediate	limbic;cortex	78	242	121
45	temporal_horn_of_the_lateral_ventricle	Temporal horn of the lateral ventricle	Temporal horn of the lateral ventricle	edit_or_replace_anchor	support_anchor_needs_edit	freesurfer_support_manual_refine	intermediate	ventricles;csf_spaces;deep_gray	154	78	242
46	nodule_of_the_cerebellum	Nodule of the cerebellum	Nodule of the cerebellum	fully_place_manually	manual_required	manual_or_external_atlas	advanced	cerebellum;midline	242	78	225
47	suprasellar_cistern	Suprasellar cistern	Suprasellar cistern	fully_place_manually	manual_required	manual	intermediate	csf_spaces;skull_base	242	78	162
48	tentorium_cerebelli	Tentorium cerebelli	Tentorium cerebelli	fully_place_manually	manual_required	manual	intermediate	skull_base	242	78	153
49	interpeduncular_cistern	Interpeduncular cistern	Interpeduncular cistern	fully_place_manually	manual_required	manual	intermediate	csf_spaces;brainstem	78	242	129
50	cerebral_crus_cerebral_peduncle	Cerebral crus (cerebral peduncle)	Cerebral crus (cerebral peduncle)	fully_place_manually	manual_required	manual_or_external_atlas	intermediate	white_matter;brainstem	242	78	210
51	sylvian_fissure	Sylvian fissure	Sylvian fissure	edit_or_replace_anchor	support_anchor_needs_edit	manual	beginner	csf_spaces;cortex	196	78	242
52	mammillary_bodies	Mammillary bodies	Mammillary bodies	fully_place_manually	manual_required	manual	beginner	limbic;midline	242	78	207
53	median_interhemispheric_fissure	Median interhemispheric fissure	Median interhemispheric fissure	fully_place_manually	manual_required	manual	beginner	csf_spaces;midline	181	78	242
